Africa/Abidjan
Initially:           -00:16:08 standard LMT
1912-01-01 00:16:08Z +00:00:00 standard GMT

Africa/Nairobi
Initially:           +02:27:16 standard LMT
1928-06-30 21:32:44Z +03:00:00 standard EAT
1929-12-31 21:00:00Z +02:30:00 standard +0230
1939-12-31 21:30:00Z +02:45:00 standard +0245
1959-12-31 21:15:00Z +03:00:00 standard EAT

Africa/Addis_Ababa
Initially:           +02:27:16 standard LMT
1928-06-30 21:32:44Z +03:00:00 standard EAT
1929-12-31 21:00:00Z +02:30:00 standard +0230
1939-12-31 21:30:00Z +02:45:00 standard +0245
1959-12-31 21:15:00Z +03:00:00 standard EAT

Africa/Casablanca
Initially:           -00:30:20 standard LMT
1913-10-26 00:30:20Z +00:00:00 standard +00
1939-09-12 00:00:00Z +01:00:00 daylight +01
1939-11-18 23:00:00Z +00:00:00 standard +00
1940-02-25 00:00:00Z +01:00:00 daylight +01
1945-11-17 23:00:00Z +00:00:00 standard +00
1950-06-11 00:00:00Z +01:00:00 daylight +01
1950-10-28 23:00:00Z +00:00:00 standard +00
1967-06-03 12:00:00Z +01:00:00 daylight +01
1967-09-30 23:00:00Z +00:00:00 standard +00
1974-06-24 00:00:00Z +01:00:00 daylight +01
1974-08-31 23:00:00Z +00:00:00 standard +00
1976-05-01 00:00:00Z +01:00:00 daylight +01
1976-07-31 23:00:00Z +00:00:00 standard +00
1977-05-01 00:00:00Z +01:00:00 daylight +01
1977-09-27 23:00:00Z +00:00:00 standard +00
1978-06-01 00:00:00Z +01:00:00 daylight +01
1978-08-03 23:00:00Z +00:00:00 standard +00
1984-03-16 00:00:00Z +01:00:00 standard +01
1985-12-31 23:00:00Z +00:00:00 standard +00
2008-06-01 00:00:00Z +01:00:00 daylight +01
2008-08-31 23:00:00Z +00:00:00 standard +00
2009-06-01 00:00:00Z +01:00:00 daylight +01
2009-08-20 23:00:00Z +00:00:00 standard +00
2010-05-02 00:00:00Z +01:00:00 daylight +01
2010-08-07 23:00:00Z +00:00:00 standard +00
2011-04-03 00:00:00Z +01:00:00 daylight +01
2011-07-30 23:00:00Z +00:00:00 standard +00
2012-04-29 02:00:00Z +01:00:00 daylight +01
2012-07-20 02:00:00Z +00:00:00 standard +00
2012-08-20 02:00:00Z +01:00:00 daylight +01
2012-09-30 02:00:00Z +00:00:00 standard +00
2013-04-28 02:00:00Z +01:00:00 daylight +01
2013-07-07 02:00:00Z +00:00:00 standard +00
2013-08-10 02:00:00Z +01:00:00 daylight +01
2013-10-27 02:00:00Z +00:00:00 standard +00
2014-03-30 02:00:00Z +01:00:00 daylight +01
2014-06-28 02:00:00Z +00:00:00 standard +00
2014-08-02 02:00:00Z +01:00:00 daylight +01
2014-10-26 02:00:00Z +00:00:00 standard +00
2015-03-29 02:00:00Z +01:00:00 daylight +01
2015-06-14 02:00:00Z +00:00:00 standard +00
2015-07-19 02:00:00Z +01:00:00 daylight +01
2015-10-25 02:00:00Z +00:00:00 standard +00
2016-03-27 02:00:00Z +01:00:00 daylight +01
2016-06-05 02:00:00Z +00:00:00 standard +00
2016-07-10 02:00:00Z +01:00:00 daylight +01
2016-10-30 02:00:00Z +00:00:00 standard +00
2017-03-26 02:00:00Z +01:00:00 daylight +01
2017-05-21 02:00:00Z +00:00:00 standard +00
2017-07-02 02:00:00Z +01:00:00 daylight +01
2017-10-29 02:00:00Z +00:00:00 standard +00
2018-03-25 02:00:00Z +01:00:00 daylight +01
2018-05-13 02:00:00Z +00:00:00 standard +00
2018-06-17 02:00:00Z +01:00:00 daylight +01
2018-10-28 02:00:00Z +01:00:00 standard +01
2019-05-05 02:00:00Z +00:00:00 daylight +00
2019-06-09 02:00:00Z +01:00:00 standard +01
2020-04-19 02:00:00Z +00:00:00 daylight +00
2020-05-24 02:00:00Z +01:00:00 standard +01
2021-04-11 02:00:00Z +00:00:00 daylight +00
2021-05-16 02:00:00Z +01:00:00 standard +01
2022-03-27 02:00:00Z +00:00:00 daylight +00
2022-05-08 02:00:00Z +01:00:00 standard +01
2023-03-19 02:00:00Z +00:00:00 daylight +00
2023-04-23 02:00:00Z +01:00:00 standard +01
2024-03-10 02:00:00Z +00:00:00 daylight +00
2024-04-14 02:00:00Z +01:00:00 standard +01
2025-02-23 02:00:00Z +00:00:00 daylight +00
2025-04-06 02:00:00Z +01:00:00 standard +01
2026-02-15 02:00:00Z +00:00:00 daylight +00
2026-03-22 02:00:00Z +01:00:00 standard +01
2027-02-07 02:00:00Z +00:00:00 daylight +00
2027-03-14 02:00:00Z +01:00:00 standard +01
2028-01-23 02:00:00Z +00:00:00 daylight +00
2028-02-27 02:00:00Z +01:00:00 standard +01
2029-01-14 02:00:00Z +00:00:00 daylight +00
2029-02-18 02:00:00Z +01:00:00 standard +01
2029-12-30 02:00:00Z +00:00:00 daylight +00
2030-02-10 02:00:00Z +01:00:00 standard +01
2030-12-22 02:00:00Z +00:00:00 daylight +00
2031-01-26 02:00:00Z +01:00:00 standard +01
2031-12-14 02:00:00Z +00:00:00 daylight +00
2032-01-18 02:00:00Z +01:00:00 standard +01
2032-11-28 02:00:00Z +00:00:00 daylight +00
2033-01-09 02:00:00Z +01:00:00 standard +01
2033-11-20 02:00:00Z +00:00:00 daylight +00
2033-12-25 02:00:00Z +01:00:00 standard +01
2034-11-05 02:00:00Z +00:00:00 daylight +00
2034-12-17 02:00:00Z +01:00:00 standard +01
